gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof
ENSG00000109332,ENSG00000078967,0.0,225,109,0.0717269319015607,0.930785028809692,-1.4816631666996574
ENSG00000109332,ENSG00000131508,0.0,225,0,0.0,1.0,-inf
ENSG00000109472,ENSG00000108582,0.0,22,82,0.0052760605565918,0.9947378334050392,-2.558108228635606
ENSG00000109625,ENSG00000108582,1.0,1781,82,0.4271210841495507,0.9310317520102748,-1.4835192871278178
ENSG00000109819,ENSG00000148840,0.0,45,44,0.0057907981718691,0.9942259361825264,-2.5256597154612503
ENSG00000109832,ENSG00000168872,0.0,418,0,0.0,1.0,-inf
ENSG00000109971,ENSG00000126803,0.0,14,37,0.0015149663904182,0.9984861805918774,-2.9649177330966405
ENSG00000110092,ENSG00000118971,0.0,2,1,5.849291082696084e-06,0.9999941507260244,-4.383131444870765
ENSG00000110395,ENSG00000134440,0.0,80,208,0.0486661018080314,0.952499114340432,-1.6695836306475442
ENSG00000110721,ENSG00000100288,0.0,76,90,0.0200045755028206,0.9801941884152212,-2.057776184955697
ENSG00000110721,ENSG00000139163,0.0,76,30,0.0066681918342735,0.9933539912225496,-2.4758479410834826
ENSG00000111450,ENSG00000103496,0.0,79,115,0.0265704047431469,0.9737794827276866,-1.9394954786510603
ENSG00000111481,ENSG00000005243,0.0,4,91,0.0010645709770506,0.9989359954776036,-3.071759779866361
ENSG00000111846,ENSG00000015532,0.0,295,76,0.0655705530370231,0.9365329691834204,-1.5263044472075442
ENSG00000111859,ENSG00000050820,0.0,226,118,0.0779944472966695,0.9249695626108506,-1.4393164832028194
ENSG00000111875,ENSG00000105011,0.0,3,62,0.0005439840706907,0.9994561638618183,-3.2668085012544568
ENSG00000112242,ENSG00000101412,0.0,9,0,0.0,1.0,-inf
ENSG00000112242,ENSG00000133740,0.0,9,22,0.0005790798171869,0.999421087817171,-3.249071340717879
ENSG00000112242,ENSG00000205250,0.0,9,18,0.0004737925776983,0.999526319644281,-3.3057100355169475
ENSG00000112576,ENSG00000110092,0.0,28,2,0.0001637801503154,0.9998362332609212,-3.592489800398216
ENSG00000112576,ENSG00000118971,0.0,28,1,8.189007515774516e-05,0.9999181132777428,-3.769197222053059
ENSG00000113575,ENSG00000104695,0.0,3,20,0.0001754787324808,0.9998245366630112,-3.5744784792068014
ENSG00000113575,ENSG00000149923,0.0,3,11,9.65133028644854e-05,0.9999034913543944,-3.727984441060452
ENSG00000114302,ENSG00000108946,0.0,51,1,0.0001491569226087,0.999850854200732,-3.616779151912288
ENSG00000114923,ENSG00000033867,0.0,120,231,0.0810711744061677,0.9221280571920152,-1.419532304613031
ENSG00000115419,ENSG00000135423,0.0,235,182,0.1250870898034557,0.8824200494494099,-1.187171700305766
ENSG00000115884,ENSG00000124145,0.0,44,77,0.0099086990940871,0.99014023032247,-2.3316418675258723
ENSG00000115884,ENSG00000169439,0.0,44,23,0.0029597412878442,0.9970446344283408,-2.752692909726294
ENSG00000116039,ENSG00000147416,0.0,367,17,0.0182468635324704,0.9819186025411696,-2.095092225561713
ENSG00000116251,ENSG00000163584,0.0,19,149,0.0082796715275563,0.9917545105489022,-2.3978641765215345
ENSG00000116731,ENSG00000147889,0.0,256,13,0.0097332203616062,0.9903139941205448,-2.3382938128918247
ENSG00000116954,ENSG00000025039,0.0,15,58,0.0025444416209727,0.9974587927268238,-2.8017633187083613
ENSG00000116990,ENSG00000134323,0.0,29,5,0.0004240736034954,0.9995760163030056,-3.3366431766160893
ENSG00000116990,ENSG00000136997,0.0,29,5,0.0004240736034954,0.9995760163030056,-3.3366431766160893
ENSG00000117394,ENSG00000059804,0.0,2,108,0.0006317234369311,0.9993684760583084,-3.224246135330076
ENSG00000117394,ENSG00000109667,0.0,2,273,0.001596856465576,0.9984044178313298,-2.9486972388376844
ENSG00000117394,ENSG00000133460,0.0,2,195,0.0011406117611257,0.998860038489218,-3.051116225024347
ENSG00000117394,ENSG00000163581,0.0,2,117,0.0006843670566754,0.9993158670690464,-3.2012629920026145
ENSG00000117394,ENSG00000173262,0.0,2,172,0.0010060780662237,0.9989944278606324,-3.088581639785822
ENSG00000117394,ENSG00000181856,0.0,2,121,0.0007077642210062,0.9992924861850104,-3.191568071865836
ENSG00000117569,ENSG00000011304,0.0,0,252,0.0,1.0,-inf
ENSG00000117625,ENSG00000089902,0.0,28,10,0.0008189007515774,0.9991814344561362,-3.149208922542417
ENSG00000118513,ENSG00000101057,0.0,143,70,0.0292757018688939,0.9711486800479056,-1.8979502200198664
ENSG00000119121,ENSG00000092439,0.0,253,253,0.1872036364561468,0.829274848598792,-0.9513035551019212
ENSG00000119314,ENSG00000011304,0.0,66,252,0.0486427046437006,0.9525214003794492,-1.6698087974974325
ENSG00000119729,ENSG00000136238,0.0,40,43,0.0050303903311186,0.9949822408934508,-2.5746030660589083
ENSG00000119787,ENSG00000184743,1.0,106,129,0.0399916031323931,0.9992213393907682,-3.1637843850866463
ENSG00000119787,ENSG00000198513,0.0,106,32,0.0099203976762525,0.9901286471533836,-2.3312020957815585
ENSG00000119812,ENSG00000171262,0.0,67,323,0.0632922541603129,0.9386691036474948,-1.543696837944291
ENSG00000120054,ENSG00000108582,0.0,150,82,0.0359731401585809,0.964666203916406,-1.8076076152781444
ENSG00000121879,ENSG00000011405,0.0,18,336,0.0176882562340729,0.9824672626674896,-2.107601489236284
ENSG00000121879,ENSG00000105851,0.0,18,263,0.0138452719927416,0.9862501329754174,-2.204350072237081
ENSG00000121879,ENSG00000139144,0.0,18,1146,0.0603295882269274,0.9414541902270092,-1.567098714903905
ENSG00000121892,ENSG00000083642,0.0,15,131,0.0057469284887489,0.9942695535160292,-2.528322783026595
ENSG00000121898,ENSG00000108582,0.0,648,82,0.1554039654850695,0.8560692851800004,-1.0628247581923904
ENSG00000122025,ENSG00000065427,0.0,57,133,0.0221717378489595,0.9780722486027053,-2.0154692697735603
ENSG00000123411,ENSG00000161405,0.0,27,11,0.0008686197257803,0.9991317574151284,-3.131951569937243
ENSG00000123416,ENSG00000183785,0.0,2,90,0.0005264361974426,0.99947370234578,-3.2760778798574317
ENSG00000123416,ENSG00000198033,0.0,2,405,0.0023689628884919,0.9976338408896392,-2.8247116510630352
ENSG00000125618,ENSG00000075891,0.0,13,18,0.0006843670566754,0.9993158670690464,-3.2012629920026145
ENSG00000125618,ENSG00000125813,0.0,13,582,0.0221278681658392,0.978115157263508,-2.016289756096877
ENSG00000125618,ENSG00000196092,0.0,13,3,0.0001140611761125,0.999885945328616,-3.685661535355232
ENSG00000125618,ENSG00000198807,0.0,13,12,0.0004562447044502,0.999543859359338,-3.316268519622178
ENSG00000125944,ENSG00000135316,0.0,6,57,0.001000228775141,0.9990002712869208,-3.090312886340329
ENSG00000127191,ENSG00000076604,0.0,16,27,0.0012634468738623,0.9987373509391058,-3.020293537544492
ENSG00000127191,ENSG00000131323,0.0,16,4,0.0001871773146462,0.9998128402019344,-3.557557208810863
ENSG00000127191,ENSG00000175104,0.0,16,23,0.001076269559216,0.998924309411138,-3.0684975149766074
ENSG00000127824,ENSG00000123416,0.0,20,2,0.0001169858216539,0.9998830210209204,-3.6792095684371766
ENSG00000127824,ENSG00000167553,0.0,20,96,0.0056153194393882,0.994400416997996,-2.5364220875136683
ENSG00000129473,ENSG00000171552,0.0,0,0,0.0,1.0,-inf
ENSG00000129910,ENSG00000170558,0.0,447,7,0.009151215898878,0.9908905290412996,-2.3611381546940047
ENSG00000130024,ENSG00000133884,0.0,342,13,0.0130029740768333,0.9870811993605944,-2.2286439959232283
ENSG00000131236,ENSG00000112186,0.0,23,31,0.0020852722709811,0.997916900398776,-2.8652957646412665
ENSG00000132463,ENSG00000169045,0.0,151,18,0.0079491865813839,0.9920823246507664,-2.4126884086015865
ENSG00000132612,ENSG00000119541,0.0,1,91,0.0002661427442626,0.9997338926685758,-3.463995879553768
ENSG00000133026,ENSG00000100345,0.0,45,26,0.0034218352833772,0.9965840125229978,-2.704925306761803
ENSG00000133056,ENSG00000121879,0.0,288,18,0.0151613624863482,0.9849529923155668,-2.1688507693517685
ENSG00000133392,ENSG00000100345,0.0,137,26,0.0104175874182817,0.9896364877051828,-2.312920243724773
ENSG00000133703,ENSG00000126458,0.0,298,347,0.3024258968486356,0.7390232501816737,-0.6403370483279435
ENSG00000133818,ENSG00000133703,0.0,8,298,0.0069723549705737,0.9930518955026428,-2.459935235020549
ENSG00000133884,ENSG00000011332,0.0,13,17,0.0006463466646379,0.9993538621723714,-3.2176896433336304
ENSG00000133884,ENSG00000205683,0.0,13,47,0.0017869584257636,0.9982146372338434,-2.9137877815377
ENSG00000134086,ENSG00000141510,0.0,19,6,0.0003334095917136,0.9996666459830876,-3.4029158819505847
ENSG00000134255,ENSG00000111666,0.0,14,118,0.0048315144343069,0.9951801385568056,-2.5884918472943945
ENSG00000134255,ENSG00000138018,0.0,14,12,0.0004913404509464,0.9995087802370058,-3.2955078673330647
ENSG00000134323,ENSG00000136997,0.0,5,5,7.311613853370107e-05,0.999926886534386,-3.7973911873804855
ENSG00000135316,ENSG00000148584,0.0,57,212,0.0353414167216497,0.9652757986936163,-1.815491554903085
ENSG00000135604,ENSG00000103496,0.0,450,115,0.1513504067647611,0.859546454990923,-1.0782838769831222
ENSG00000135678,ENSG00000108582,0.0,83,82,0.0199051375544147,0.9802916617605508,-2.0598103318117555
ENSG00000135766,ENSG00000129521,0.0,12,37,0.0012985426203585,0.9987023001212918,-3.01199137027676
ENSG00000135766,ENSG00000269858,0.0,12,16,0.0005615319439388,0.9994386256856173,-3.257811742254361
ENSG00000135932,ENSG00000102547,0.0,14,196,0.008025227365459,0.9920068888010698,-2.4092299411794444
ENSG00000135999,ENSG00000120616,0.0,207,9,0.0054486146435314,0.9945662021347162,-2.5469276652267525
ENSG00000136238,ENSG00000126785,0.0,43,80,0.0100607806622372,0.9899896596933528,-2.325960076194764
ENSG00000136238,ENSG00000128340,0.0,43,5,0.0006287987913898,0.99937139886114,-3.2255742341261358
ENSG00000136238,ENSG00000169750,0.0,43,55,0.0069167867052881,0.9931070792070316,-2.4627957718209923
ENSG00000136274,ENSG00000196531,0.0,552,498,0.8039733607344112,0.4475471602732787,0.1318608939900288
ENSG00000136527,ENSG00000164548,0.0,2,82,0.000479641868781,0.9995204731409916,-3.3022709735549705
ENSG00000136872,ENSG00000149925,0.0,537,12,0.0188464158684467,0.9813300673957178,-2.082028514964852
ENSG00000137076,ENSG00000073712,0.0,56,13,0.0021291419541013,0.997873123060831,-2.8587040842691778
ENSG00000137267,ENSG00000188229,0.0,3,79,0.0006931409932994,0.9993070991734258,-3.1975920689073822
ENSG00000137285,ENSG00000188229,0.0,2,79,0.0004620939955329,0.999538012753454,-3.312707826561534
ENSG00000137713,ENSG00000105568,0.0,256,71,0.053158357359542,0.9482298414183394,-1.6279272282333876
ENSG00000137948,ENSG00000204256,1.0,307,440,0.3950611197252935,0.9397673898110568,-1.5528238618353398
ENSG00000138376,ENSG00000167522,0.0,381,23,0.0256286688788328,0.9746969577322562,-1.954805053037473
ENSG00000138413,ENSG00000168769,0.0,172,627,0.3154054737611382,0.7294930240131814,-0.6112804187571297
ENSG00000138777,ENSG00000180817,0.0,73,465,0.0992770929010593,0.9054917679174356,-1.313494229307791
ENSG00000139514,ENSG00000099960,0.0,25,197,0.0144038792911391,0.985699360300232,-2.1889389251623927
ENSG00000139618,ENSG00000105173,0.0,1828,8,0.0427700163966737,0.9581317193152716,-1.7294054160217192
ENSG00000139668,ENSG00000185359,0.0,28,115,0.0094173586431406,0.9906268458068828,-2.350537702739158
ENSG00000139687,ENSG00000012048,0.0,5,1092,0.0159685646557603,0.9841582569226196,-2.148381185811541
ENSG00000139687,ENSG00000141510,0.0,5,6,8.773936624044126e-05,0.9999122644827452,-3.7519406139480216
ENSG00000140297,ENSG00000015532,0.0,239,76,0.0531232616130458,0.9482631208364536,-1.6282411697567345
ENSG00000140379,ENSG00000171552,0.0,34,0,0.0,1.0,-inf
ENSG00000140650,ENSG00000100417,0.0,186,101,0.0549423911397643,0.946539675454706,-1.6121897774443077
ENSG00000143153,ENSG00000069849,0.0,0,7,0.0,1.0,-inf
ENSG00000143384,ENSG00000030110,0.0,28,248,0.0203087386391208,0.97989609481353,-2.051607626966815
ENSG00000143384,ENSG00000087088,0.0,28,128,0.0104819296201913,0.9895728143629372,-2.310610635297357
ENSG00000143384,ENSG00000129473,0.0,28,0,0.0,1.0,-inf
ENSG00000143384,ENSG00000140379,0.0,28,34,0.0027842625553633,0.997219609908806,-2.7726153828064577
ENSG00000143384,ENSG00000171552,0.0,28,0,0.0,1.0,-inf
ENSG00000143384,ENSG00000171791,0.0,28,3,0.0002456702254732,0.9997543599489856,-3.4854662995911374
ENSG00000143384,ENSG00000176720,0.0,28,171,0.0140032028519744,0.9860943859434532,-2.199938931011197
ENSG00000143545,ENSG00000084733,0.0,15,1,4.3869683120220624e-05,0.9999561312791404,-3.922218306092645
ENSG00000143614,ENSG00000167491,0.0,2,52,0.0003041631363001,0.999695883116617,-3.4279159377696686
ENSG00000143621,ENSG00000129351,0.0,8,8,0.0001871773146462,0.9998128402019344,-3.557557208810863
ENSG00000143632,ENSG00000075624,0.0,78,1,0.0002281223522251,0.9997719036657002,-3.505241851026478
ENSG00000143845,ENSG00000110721,0.0,84,76,0.0186709371359659,0.9815022850619168,-2.0858144952879454
ENSG00000143878,ENSG00000067560,0.0,9,4,0.0001052872394885,0.9998947183030183,-3.705993867117769
ENSG00000144118,ENSG00000133703,0.0,18,298,0.0156877986837908,0.9844346138661938,-2.155397110812157
ENSG00000144290,ENSG00000033867,0.0,109,231,0.0736396500856023,0.929006400908876,-1.4684309555369537
ENSG00000144481,ENSG00000092439,1.0,410,253,0.3033734820040324,0.9623110030753332,-1.7781574819566843
ENSG00000145284,ENSG00000099194,0.0,15,5,0.0002193484156011,0.9997806756395038,-3.515668251991848
ENSG00000145632,ENSG00000166851,0.0,22,38,0.0024450036725669,0.9975579829143446,-2.814584460133156
ENSG00000145700,ENSG00000167522,0.0,831,23,0.0558987502317851,0.9456348763555116,-1.6039265339304798
ENSG00000146648,ENSG00000133703,1.0,76,298,0.0662373722204504,0.9979008107496478,-2.8628586210145426
ENSG00000146648,ENSG00000196712,0.0,76,126,0.0280064057039488,0.9723821379891958,-1.9170173774078003
ENSG00000146904,ENSG00000060237,1.0,780,481,1.0972685142029583,0.7000295548258348,-0.5244855173454511
