,gene_1,gene_2,both_lof,lof_1,lof_2,expected_both_lof,p-value_lof,z-score_lof,gene_pair
61039393,ENSG00000147601,ENSG00000132604,0.0,144,16,0.0067383833272658,0.9932842686698292,-2.4721194567976235,"('ENSG00000132604', 'ENSG00000147601')"
61080493,ENSG00000147614,ENSG00000159720,0.0,98,30,0.0085984578915632,0.9914384031225424,-2.3840517608051948,"('ENSG00000147614', 'ENSG00000159720')"
63010737,ENSG00000149781,ENSG00000073712,0.0,117,13,0.0044483858683903,0.9955614935454496,-2.6167546240802424,"('ENSG00000073712', 'ENSG00000149781')"
63069032,ENSG00000149925,ENSG00000109107,0.0,12,65,0.0022812235222514,0.9977213764906816,-2.8367697041150137,"('ENSG00000109107', 'ENSG00000149925')"
64994846,ENSG00000152465,ENSG00000136448,0.0,37,9,0.0009739069652688,0.9990265671281996,-3.098220410734941,"('ENSG00000136448', 'ENSG00000152465')"
65157679,ENSG00000152601,ENSG00000139793,0.0,10,4,0.0001169858216539,0.9998830210209204,-3.6792095684371766,"('ENSG00000139793', 'ENSG00000152601')"
67115419,ENSG00000154917,ENSG00000175582,0.0,21,7,0.0004299228945781,0.9995701695090268,-3.332834384998125,"('ENSG00000154917', 'ENSG00000175582')"
67890240,ENSG00000155926,ENSG00000177885,0.0,53,2,0.0003100124273828,0.9996900356215044,-3.4227420518844047,"('ENSG00000155926', 'ENSG00000177885')"
68414099,ENSG00000156508,ENSG00000101210,0.0,2,0,0.0,1.0,-inf,"('ENSG00000101210', 'ENSG00000156508')"
68786373,ENSG00000156976,ENSG00000161960,0.0,9,5,0.0001316090493606,0.9998683996107304,-3.6490608321814335,"('ENSG00000156976', 'ENSG00000161960')"
70035846,ENSG00000158186,ENSG00000133703,0.0,6,298,0.0052292662279302,0.994784382583258,-2.561196465911652,"('ENSG00000133703', 'ENSG00000158186')"
72718365,ENSG00000160949,ENSG00000167522,0.0,421,23,0.028319342776873,0.972077891176706,-1.9122493606085595,"('ENSG00000160949', 'ENSG00000167522')"
73610259,ENSG00000162385,ENSG00000111196,0.0,0,14,0.0,1.0,-inf,"('ENSG00000111196', 'ENSG00000162385')"
77384624,ENSG00000163577,ENSG00000132507,0.0,85,5,0.0012429743550729,0.9987577978175872,-3.0252344811916747,"('ENSG00000132507', 'ENSG00000163577')"
77934649,ENSG00000163694,ENSG00000135316,0.0,49,57,0.008168534996985,0.9918647368293528,-2.4027900366138195,"('ENSG00000135316', 'ENSG00000163694')"
79654368,ENSG00000164087,ENSG00000139323,0.0,95,76,0.0211159408085328,0.9791054397121858,-2.035614102356392,"('ENSG00000139323', 'ENSG00000164087')"
81809376,ENSG00000164695,ENSG00000101421,0.0,31,1,9.066401178178927e-05,0.9999093400980756,-3.743714317441894,"('ENSG00000101421', 'ENSG00000164695')"
82515631,ENSG00000164967,ENSG00000178718,0.0,23,371,0.0249560004043228,0.9753528262142184,-1.966036906513906,"('ENSG00000164967', 'ENSG00000178718')"
82974622,ENSG00000165209,ENSG00000129351,0.0,3,8,7.0191492992353e-05,0.9999298109703728,-3.8075011981533633,"('ENSG00000129351', 'ENSG00000165209')"
83009669,ENSG00000165238,ENSG00000060237,0.0,153,481,0.2152334393244264,0.8063531836625016,-0.8645357820037195,"('ENSG00000060237', 'ENSG00000165238')"
85961642,ENSG00000167522,ENSG00000101745,0.0,23,439,0.0295301460309911,0.970901608370045,-1.8942126985536525,"('ENSG00000101745', 'ENSG00000167522')"
86025732,ENSG00000167553,ENSG00000183785,0.0,96,90,0.025268937477247,0.9750476499086947,-1.9607799306200169,"('ENSG00000167553', 'ENSG00000183785')"
86211846,ENSG00000167771,ENSG00000089902,0.0,46,10,0.00134533694902,0.9986555676110416,-3.0012355521765426,"('ENSG00000089902', 'ENSG00000167771')"
87772755,ENSG00000168710,ENSG00000158467,0.0,26,69,0.0052468141011783,0.9947669263861632,-2.56003549718637,"('ENSG00000158467', 'ENSG00000168710')"
