gene_1,gene_2,both_missense_lof,missense_1,lof_2,expected_both_missense_lof,p-value_missense_lof,z-score_missense_lof
ENSG00000127824,ENSG00000123416,0.0,344,2,0.0017857374433198,0.9982158560371348,-2.914000974612793
ENSG00000127824,ENSG00000167553,0.0,344,96,0.0857153972793534,0.9178554182003056,-1.3907898443305933
ENSG00000129473,ENSG00000171552,0.0,82,0,0.0,1.0,-inf
ENSG00000129910,ENSG00000170558,0.0,715,7,0.0129907207904301,0.9870932944233356,-2.22900741907401
ENSG00000130024,ENSG00000133884,0.0,469,13,0.0158250598719784,0.9842994984746634,-2.1519536759757054
ENSG00000131236,ENSG00000112186,0.0,40,31,0.0032184802757509,0.99678669347986,-2.725181590307434
ENSG00000132463,ENSG00000169045,0.0,606,18,0.0283122442321701,0.9720847915395624,-1.912357019118758
ENSG00000132612,ENSG00000119541,0.0,191,91,0.0451132303813118,0.9558892400019464,-1.7048547363424504
ENSG00000133026,ENSG00000100345,0.0,482,26,0.03252741517396,0.9679959116912222,-1.852122901445195
ENSG00000133056,ENSG00000121879,0.0,1851,18,0.0864784885705395,0.917155277893569,-1.3861881983109048
ENSG00000133392,ENSG00000100345,0.0,216,26,0.0145766009908202,0.9855291233335786,-2.1842789943895906
ENSG00000133703,ENSG00000126458,0.0,98,347,0.0882642260138594,0.915518940841505,-1.3755463761407851
ENSG00000133818,ENSG00000133703,0.0,159,298,0.1229822842142176,0.8842793281252054,-1.1966542556832689
ENSG00000133884,ENSG00000011332,0.0,9,17,0.0003971189372499,0.9996029599040384,-3.3548500370376453
ENSG00000133884,ENSG00000205683,0.0,9,47,0.0010979170618085,0.9989026854286136,-3.0625457648034957
ENSG00000134086,ENSG00000141510,0.0,604,6,0.009406268160743,0.990637832397402,-2.350974138275644
ENSG00000134255,ENSG00000111666,0.0,140,118,0.0428784630285525,0.9580278187913484,-1.7282447022622252
ENSG00000134255,ENSG00000138018,0.0,140,12,0.0043605216639205,0.9956489716071196,-2.62354257676101
ENSG00000134323,ENSG00000136997,0.0,740,5,0.0096035298550632,0.9904424367727952,-2.343278151125177
ENSG00000135316,ENSG00000148584,0.0,424,212,0.2333086734086277,0.7919090945146434,-0.8130632227096857
ENSG00000135604,ENSG00000103496,1.0,628,115,0.1874505205763961,0.984479768242701,-2.156553595682813
ENSG00000135678,ENSG00000108582,0.0,10,82,0.0021283498597707,0.9978739134707876,-2.858822003282796
ENSG00000135766,ENSG00000129521,0.0,207,37,0.0198793067999808,0.9803169837607812,-2.0603401675892106
ENSG00000135766,ENSG00000269858,0.0,207,16,0.0085964569945863,0.9914403868906306,-2.3841370365185544
ENSG00000135932,ENSG00000102547,0.0,8,196,0.0040698202196592,0.995938450275038,-2.646909892454329
ENSG00000135999,ENSG00000120616,0.0,390,9,0.0091103756192626,0.9909309981139524,-2.362788783803345
ENSG00000136238,ENSG00000126785,0.0,0,80,0.0,1.0,-inf
ENSG00000136238,ENSG00000128340,0.0,0,5,0.0,1.0,-inf
ENSG00000136238,ENSG00000169750,0.0,0,55,0.0,1.0,-inf
ENSG00000136274,ENSG00000196531,1.0,955,498,1.23441696318095,0.6502251212090986,-0.3859283179001326
ENSG00000136527,ENSG00000164548,0.0,64,82,0.0136214391025329,0.9864709129011326,-2.210677550645293
ENSG00000136872,ENSG00000149925,0.0,204,12,0.0063539029959985,0.9936662403600856,-2.492982210303654
ENSG00000137076,ENSG00000073712,0.0,3675,13,0.1240023348177419,0.8833777783542333,-1.1920428517089054
ENSG00000137267,ENSG00000188229,0.0,77,79,0.0157887221914458,0.984335266285243,-2.1528627416130486
ENSG00000137285,ENSG00000188229,0.0,73,79,0.0149685288308512,0.985142942715394,-2.1738804506869918
ENSG00000137713,ENSG00000105568,0.0,236,71,0.043491012500389,0.9574411590543428,-1.7217341841378038
ENSG00000137948,ENSG00000204256,0.0,45,440,0.0513918624676356,0.9499063649387092,-1.6439464213619224
ENSG00000138376,ENSG00000167522,0.0,377,23,0.0225060019927711,0.97774536875509,-2.00926287836994
ENSG00000138413,ENSG00000168769,0.0,25,627,0.0406852244535448,0.9601313082433558,-1.752211868964046
ENSG00000138777,ENSG00000180817,0.0,263,465,0.3174226171959342,0.7280230150569607,-0.6068447156121918
ENSG00000139514,ENSG00000099960,0.0,321,197,0.1641347074174683,0.8486276977346705,-1.030565536425438
ENSG00000139618,ENSG00000105173,0.0,233,8,0.0048381026080642,0.9951735821587302,-2.588023636350823
ENSG00000139668,ENSG00000185359,0.0,694,115,0.207150734522323,0.8128971090947944,-0.8886228959289564
ENSG00000139687,ENSG00000012048,2.0,580,1092,1.6439166672980647,0.7719495162101913,-0.7452824843309549
ENSG00000139687,ENSG00000141510,0.0,580,6,0.0090325091609783,0.9910081614053567,-2.365954031325152
ENSG00000140297,ENSG00000015532,0.0,0,76,0.0,1.0,-inf
ENSG00000140379,ENSG00000171552,0.0,21,0,0.0,1.0,-inf
ENSG00000140650,ENSG00000100417,0.0,1538,101,0.4031873298988676,0.6681869162112182,-0.4349121879045358
ENSG00000143153,ENSG00000069849,0.0,105,7,0.0019077282279652,0.9980940903289094,-2.8933288796641063
ENSG00000143384,ENSG00000030110,0.0,675,248,0.4344948372263736,0.6475917236939848,-0.3788267083756972
ENSG00000143384,ENSG00000087088,0.0,675,128,0.2242553998587735,0.799111015464011,-0.8384500871395498
ENSG00000143384,ENSG00000129473,0.0,675,0,0.0,1.0,-inf
ENSG00000143384,ENSG00000140379,0.0,675,34,0.0595678405874867,0.942171613947278,-1.5732680153961205
ENSG00000143384,ENSG00000171552,0.0,675,0,0.0,1.0,-inf
